text,time,image_url,likes,comments,shares
"Esta mañana el candidato de CREO, durante una visita por la sierra norte del país; manifestó que en su gobierno ""prohibirá el consumo de CUY"" porque según él, los serranos son unos ""puercos"" y deben entender que las ""ratas no son para comer"". ¿Estás de acuerdo? 🤣  #fakenews #LassoBorrero #Elecciones2021 #esmentiraojo",1617814393.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/169940181_2900830180238249_143350490780564471_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=8024bb&_nc_ohc=dQRnl4zrwB8AX-YwiFm&_nc_ht=scontent.fuio23-1.fna&tp=14&oh=ef987eb1ca2c1b782ded0d454a4085d0&oe=60AFF161,13,7,0
"Fuentes cercanas al candidato de CREO han informado hoy en la mañana que Guillermo Lasso ""se ha convertido en bagre"" por necio; luego de meterse a duchar hoy Viernes Santo. Noticia en desarrollo 😂  #lassoesbagre #LassoBorrero #Elecciones2021 #fakenews #esbromanomas",1617374284.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/168267048_2897072000614067_4219463985120955061_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=8024bb&_nc_ohc=f-2qAnk95MsAX-2hnH4&_nc_ht=scontent.fuio23-1.fna&tp=14&oh=1b31cd01afb0fc1e9ccb653b3ccc2289&oe=60B28733,20,4,0
"Esta tarde se han dado a conocer los resultados de nuevas encuestas en la carrera presidencial; y el candidato de derecha se vuelve a colocar por debajo de Andrés Arauz, tras haberse hecho público el certificado de vacunación para COVID del candidato de CREO, además se sospecha también que el ex-presidente Correa es marido de Lasso. Noticia en desarrollo  #fakenews #Elecciones2021 #lassocaremazo #LassoBorrero #esbromanomas #noseenojaran",1617327840.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/168429686_2896689233985677_353031191495327559_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=8024bb&_nc_ohc=eOQr5WUWwzMAX_Nj0D8&_nc_oc=AQksCl5rJeyDk4Ul19TOL-zE5LmFPdCsFmE2ICOeW7qnFMIMcKeWxWqEPsL8E5GGA2k&_nc_ht=scontent.fuio23-1.fna&tp=14&oh=78376c0a9d44a4dbdd2e5c025b678f5d&oe=60AEF168,18,3,0
"Los mismos grupos de venezolanos que ayer fueron captados con carteles en las calles de Quito, hoy volvieron a ser vistos con nuevos mensajes, igual de claros y ciertos que los anteriores. La ciudadanía los apoya en ambos casos. Noticia en desarrollo  #fakenews #Elecciones2021 #lassocaremazo #leninmmvg",1617141629.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/165528952_2895044947483439_3824263121091523460_n.jpg?_nc_cat=106&ccb=1-3&_nc_sid=8024bb&_nc_ohc=k7dh07NAYtkAX8lj2Vb&_nc_ht=scontent.fuio23-1.fna&tp=14&oh=58b353e4fa21b5bf2367e965a2533b15&oe=60B24CD0,34,6,0
"Ciudadanos rechazan enérgicamente este tipo de ""campaña sucia"" sea del candidato que sea; ya que se aprovecha de la miseria y necesidad de personas para favorecer sus intereses políticos, ya que se nota claramente que estos carteles no son elaborados por estas personas sino les fueron entregados a cambio seguramente de alguna mínima cantidad de dinero ¡BASTA YÁ! la pobreza no es burla 😡😡😡",1617127951.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/167565693_2894843900836877_9165551505107688765_n.jpg?_nc_cat=109&ccb=1-3&_nc_sid=110474&_nc_ohc=yheZ0ZAKdPoAX8jwA67&_nc_ht=scontent.fuio23-1.fna&tp=14&oh=3735391fa52ebaf91cce17683fadf9b3&oe=60B1D434,20,6,0
"Esta tarde el Alcalde de Quinto, ha declarado que el no es el ""taita"" de ese ""longo fiero"" que anda haciendo negociados en el cabildo de Quinto, que ""está clarito"" porque el es ""pintaza"" y ese rocoto parece Rumiñahui nomas. Noticia en desarrollo  ·#fakenews #yunda #hijodeyunda #esbromanomas",1617037663.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/166297650_2894080074246593_2955706131291198389_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=8024bb&_nc_ohc=YtnwCbGjI5sAX8zBnwU&_nc_oc=AQmi-nyxEuYpM3o3g1j5K0YIgflZel3iRiKTJilEXKaWJF41BtzvlDCf_4zssV3MLzE&_nc_ht=scontent.fuio23-1.fna&tp=14&oh=05693e6a3276bfe685855f0e9fa374f3&oe=60AF50F7,31,6,0
¿Por quién votarías si las elecciones fueran hoy? 🧐 #elecciones2021 #LassoBorrero #ArauzRabascal,1617032645.0,,19,5,0
"Guillermo Lasso ha manifestado públicamente que tanto Moreno como los miembros de su gobierno, son personas honorables y que pondría las manos al fuego por ellos, en especial por María Paula Romo; y que el esta seguro de que es el sentir de la gran mayoría de los ecuatorianos. Noticia en desarrollo #fakenews #noticiafalsa #noesverdad #elecciones2021",1616702610.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/163478257_2891144107873523_5735176461038716190_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=4f70da&_nc_ohc=4vwLK5LQ9MEAX_3xhMd&_nc_ht=scontent.fuio23-1.fna&tp=14&oh=90cb8a01b233187aba8881321b0b1571&oe=60AFCA3E,19,12,0
"Esta mañana; Guillermo Lasso ha increpado al candidato de UNES, Andrés Arauz por haberle preguntado ""huevadas"", cuando el lo que quería contestar es ""cuánto cuesta el litro de leche"", ahora que ya por fin se aprendió, manifestó al mismo tiempo que dijo que a el ""qué chucha"" le importa ese tal ""protocolo de doña Goya"". Noticia en desarrollo 🤣 #fakenews #Noescierto #Nosecreeran #BromitaNomas #elecciones2021",1616431187.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/164059945_2888729911448276_1522898362413463379_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=8024bb&_nc_ohc=v98ESBghkDkAX-ZKnPi&_nc_ht=scontent.fuio23-1.fna&tp=14&oh=8409542f2a17d00a69e53df2829f3a4a&oe=60B14AD6,40,8,0
"Sigue el debate presidencial entre los candidatos Arauz y Lasso ... aunque esperen, por ahí aparece también YAKU... si señores es Yaku Perez 👏😅 Noticia en desarrollo",1616376832.0,https://scontent.fuio23-1.fna.fbcdn.net/v/t1.6435-9/fr/cp0/e15/q65/163826886_2888252834829317_4638993766339402975_n.jpg?_nc_cat=102&ccb=1-3&_nc_sid=110474&_nc_ohc=RplaF3rVnDIAX-V_vNR&_nc_ht=scontent.fuio23-1.fna&tp=14&oh=a26581c5570b37b376ec160f0800b730&oe=60AF0302,9,1,0
